index	e	o	t	k	T	S
214	0.05	1	0.6	1	10	1
215	0.05	1	0.6	0.4	10	1
216	0.05	1	0.6	0.2	1	5
217	0.05	1	0.6	0.2	1	10
218	0.05	1	0.6	0.4	1	1
219	0.05	1	0.6	0.1	10	1
220	0.05	1	0.6	0.9	10	10
221	0.05	1	0.6	0.6	1	1
222	0.05	1	0.6	0.9	10	50
223	0.05	1	0.6	0.8	10	5
224	0.05	1	0.6	0.2	1	50
225	0.05	1	0.6	0.2	5	10
226	0.05	1	0.6	0.8	10	50
227	0.05	1	0.6	0.9	5	10
228	0.05	1	0.6	0.5	5	1
229	0.05	1	0.6	0.7	5	10
230	0.05	1	0.6	0.7	10	5
231	0.05	1	0.6	0.6	1	10
232	0.05	1	0.6	0.3	5	1
233	0.05	1	0.6	0.1	1	5
234	0.05	1	0.6	0.3	10	50
235	0.05	1	0.6	0.4	5	50
236	0.05	1	0.6	0.7	10	50
237	0.05	1	0.6	0.1	10	10
238	0.05	1	0.6	0.6	1	50
239	0.05	1	0.5	0.5	5	1
240	0.05	1	0.5	0.9	10	1
241	0.05	1	0.5	0.2	10	5
242	0.05	1	0.5	0.7	5	1
243	0.05	1	0.5	0.3	10	50
244	0.05	1	0.5	0.2	10	10
245	0.05	1	0.6	1	10	50
246	0.05	1	0.5	0.6	5	5
247	0.05	1	0.5	0.3	5	1
248	0.05	1	0.5	0.2	5	10
249	0.05	1	0.5	0.4	5	50
250	0.05	1	0.5	0.8	10	50
251	0.05	1	0.6	1	1	1
252	0.05	1	0.5	0.5	1	5
253	0.05	1	0.6	1	1	5
254	0.05	1	0.5	0.8	1	50
255	0.05	1	0.5	0.8	1	5
256	0.05	1	0.5	0.8	1	10
257	0.05	1	0.5	0.2	5	1
258	0.05	1	0.5	0.8	5	5
259	0.05	1	0.5	0.1	10	10
260	0.05	1	0.5	1	5	50
261	0.05	1	0.6	0.9	5	5
262	0.05	1	0.5	0.4	5	10
263	0.05	1	0.5	0.1	1	50
264	0.05	1	0.5	0.4	10	1
